Sites,Locality Number,Environment,Arganodus,Apachesaurus,Anaschisma,Paratypothorax,Smilosuchus,Placerias,Trilophosaurus,Calyptosuchus,Vancleavea,Desmatosuchus spurensis,Pravusuchus,Leptosuchus,Doswellia,Colognathus,Turseodus,Shuvosauridae,Xenacanthus,Lissodus,Lasalichthyes,Adamanasuchus,Puercosuchus,Rauisuchidae,Poposaurus,Scutarx,Protome,Acrodus,Tecovasuchus,Crocodylomorpha,Crosbysaurus,Acaenasuchus,Coelophysoidae,Revueltosaurus,Silesauridae
1,PFV 097,"""Aquatic""",1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,PFV 098,"""Terrestrial""",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PFV 099,"""Terrestrial""",0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,PFV 100,"""Terrestrial""",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,PFV 103,"""Terrestrial""",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,PFV 111,"""Terrestrial""",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,PFV 112,"""Terrestrial""",0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,PFV 113,"""Aquatic""",1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,PFV 114,"""Aquatic""",1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,PFV 117,"""Terrestrial""",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,PFV 118,"""Terrestrial""",0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,PFV 119,"""Terrestrial""",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,PFV 120,"""Terrestrial""",0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
